ipv,ips,iaa,ieg,no_av,ida,defasagem,media
7.667,7.5,8.0,9.3,3.0,5.9,1,6.052428571428571
8.056,7.5,8.0,8.3,3.0,6.2,0,5.865142857142857
8.222,8.8,9.5,9.3,3.0,7.2,1,6.717428571428572
9.556,7.5,10.0,10.0,3.0,8.0,1,7.008
8.222,7.5,8.0,9.4,3.0,7.5,0,6.231714285714285
8.389,5.6,7.5,9.2,3.0,6.9,1,5.941285714285713
8.0,5.6,9.5,9.0,3.0,4.5,0,5.6571428571428575
9.111,7.5,8.5,9.3,3.0,8.8,0,6.601571428571428
7.5,7.5,8.5,10.0,3.0,2.5,1,5.714285714285714
7.667,7.5,8.4,9.6,3.0,2.3,1,5.638142857142857
8.222,7.5,9.0,10.0,3.0,7.5,1,6.603142857142857
7.5,7.5,9.0,10.0,3.0,9.0,1,6.714285714285714
7.111,7.5,9.0,6.5,3.0,4.6,1,5.530142857142858
6.778,7.5,8.0,8.5,3.0,2.5,1,5.325428571428572
7.111,7.5,6.8,8.7,3.0,9.5,1,6.230142857142858
6.611,7.5,10.0,5.3,3.0,2.7,1,5.158714285714287
6.611,7.5,9.5,8.6,3.0,8.5,1,6.3872857142857145
6.778,7.5,9.0,8.1,3.0,4.5,0,5.554
6.611,5.0,10.0,6.8,3.0,5.1,1,5.358714285714286
5.778,5.0,8.5,7.3,3.0,2.6,1,4.739714285714285
6.778,7.5,9.0,8.1,3.0,5.7,0,5.725428571428572
6.444,7.5,7.9,6.2,3.0,4.7,0,5.106285714285714
6.611,7.5,9.5,8.1,3.0,2.0,0,5.244428571428571
6.611,7.5,8.5,8.3,3.0,5.8,1,5.815857142857142
6.889,7.5,8.0,8.7,3.0,7.3,0,5.912714285714285
6.5,7.5,9.0,4.9,3.0,2.3,1,4.885714285714285
5.833,6.9,9.5,9.0,3.0,5.5,0,5.676142857142858
8.333,7.5,9.0,7.9,3.0,8.0,0,6.247571428571428
8.222,7.5,10.0,8.2,3.0,7.5,0,6.345999999999999
8.5,7.5,9.0,9.1,3.0,5.6,1,6.242857142857143
7.778,5.0,9.0,7.2,3.0,3.1,0,5.011142857142857
7.5,7.5,9.0,9.4,3.0,3.8,1,5.885714285714285
7.889,5.0,9.5,8.9,3.0,6.9,1,6.027
5.556,7.5,0.0,7.0,3.0,3.5,0,3.793714285714286
8.111,7.5,9.0,9.7,3.0,5.5,0,6.115857142857143
8.111,7.5,0.0,6.0,3.0,7.0,1,4.658714285714287
8.111,7.5,10.0,9.1,3.0,7.5,1,6.601571428571428
6.889,6.3,9.0,6.0,3.0,6.1,1,5.469857142857143
7.167,7.5,9.0,5.6,3.0,4.8,1,5.438142857142857
7.778,7.5,9.0,8.7,3.0,8.8,1,6.539714285714284
5.444,5.0,9.5,8.6,3.0,2.3,1,4.977714285714285
7.278,7.5,7.0,7.9,3.0,6.3,1,5.711142857142856
8.389,6.3,6.4,8.2,3.0,7.3,1,5.7984285714285715
7.667,7.5,8.0,8.8,3.0,8.5,1,6.352428571428571
5.833,7.5,8.0,7.7,3.0,5.6,1,5.519
7.222,8.1,7.0,9.1,3.0,7.3,1,6.103142857142856
5.056,7.5,6.8,8.1,3.0,3.3,1,4.965142857142857
7.222,7.5,0.0,6.7,3.0,3.8,1,4.174571428571428
6.778,7.5,10.0,8.5,3.0,3.6,1,5.768285714285715
7.389,7.5,10.0,7.8,3.0,2.5,1,5.598428571428571
7.722,7.5,7.5,8.0,3.0,4.8,1,5.646
8.444,7.5,8.0,7.9,3.0,7.8,0,6.092
7.556,7.5,8.5,9.7,3.0,3.3,1,5.793714285714286
7.111,5.0,5.8,8.4,3.0,5.5,1,5.115857142857143
6.722,7.5,9.5,6.7,3.0,4.1,1,5.503142857142857
7.833,5.0,9.0,9.6,3.0,5.7,0,5.7332857142857145
7.5,7.5,8.0,9.7,3.0,6.3,1,6.142857142857143
8.056,5.0,3.5,8.5,3.0,6.3,1,5.050857142857142
7.056,7.5,9.0,7.0,3.0,2.0,1,5.2222857142857135
5.889,7.5,8.0,6.1,3.0,4.3,1,5.112714285714285
6.0,7.5,9.5,9.1,3.0,3.0,1,5.585714285714286
7.667,7.5,8.5,9.2,3.0,5.8,1,6.095285714285715
7.556,4.4,9.0,9.3,3.0,5.5,1,5.679428571428572
4.5,5.6,0.0,5.0,3.0,0.7,1,2.8285714285714287
7.056,5.6,8.5,9.1,3.0,4.9,1,5.593714285714285
9.5,7.5,8.0,9.2,3.0,9.8,1,6.857142857142857
8.444,7.5,9.0,8.8,3.0,6.3,1,6.292
6.889,7.5,9.0,8.0,3.0,5.2,0,5.655571428571428
6.833,7.5,10.0,7.9,3.0,5.5,1,5.961857142857142
6.833,5.0,9.0,4.8,3.0,2.4,1,4.576142857142857
6.389,5.0,9.5,8.7,3.0,6.5,1,5.726999999999999
5.444,7.5,9.5,4.0,3.0,1.2,1,4.5205714285714285
7.222,7.5,10.0,9.9,3.0,7.3,1,6.560285714285714
9.333,7.5,7.5,9.7,3.0,9.6,1,6.804714285714286
7.722,7.5,8.5,8.8,3.0,7.3,1,6.260285714285715
6.5,7.5,9.0,7.2,3.0,0.0,0,4.742857142857143
8.722,7.5,7.9,8.2,3.0,7.7,1,6.288857142857144
7.722,7.5,7.5,9.7,3.0,7.0,1,6.203142857142857
8.278,7.5,10.0,8.8,3.0,7.1,1,6.525428571428572
8.278,7.5,10.0,9.4,3.0,7.2,0,6.482571428571428
6.944,5.0,6.4,8.3,3.0,5.8,1,5.206285714285714
8.056,7.5,9.0,8.9,3.0,8.4,1,6.550857142857142
7.556,7.5,8.5,6.8,3.0,5.7,1,5.722285714285715
5.833,5.0,6.9,9.2,3.0,5.1,1,5.147571428571429
7.556,7.5,8.5,8.8,3.0,8.8,1,6.450857142857144
7.444,7.5,8.5,10.0,3.0,8.2,1,6.520571428571429
7.889,7.5,9.0,10.0,3.0,9.5,1,6.841285714285713
7.333,7.5,8.5,8.8,3.0,6.8,0,5.990428571428571
7.778,7.5,9.5,9.7,3.0,7.4,0,6.411142857142856
7.5,7.5,8.5,10.0,3.0,8.8,1,6.614285714285714
7.556,7.5,8.5,8.9,3.0,8.0,0,6.208
7.556,7.5,9.5,8.0,3.0,8.4,1,6.422285714285714
7.278,7.5,9.5,7.3,3.0,7.2,1,6.111142857142858
7.222,7.5,8.5,10.0,3.0,7.4,1,6.3745714285714286
7.556,7.5,8.0,7.4,3.0,4.5,1,5.565142857142858
7.833,7.5,9.0,8.2,3.0,9.2,1,6.533285714285715
7.056,7.5,8.0,9.3,3.0,7.1,1,6.136571428571429
7.056,7.5,8.0,10.0,3.0,5.3,1,5.979428571428571
7.722,7.5,9.0,9.3,3.0,6.2,1,6.246000000000001
7.778,5.6,9.0,9.6,3.0,8.3,0,6.182571428571429
5.889,7.5,8.0,9.7,3.0,4.8,0,5.555571428571428
7.556,7.5,8.0,6.3,3.0,5.8,1,5.593714285714285
8.056,7.5,10.0,9.7,3.0,9.9,0,6.879428571428571
7.833,7.5,6.9,9.5,3.0,7.7,1,6.204714285714287
7.5,7.5,9.0,9.4,3.0,7.5,1,6.414285714285714
7.333,7.5,7.4,9.6,3.0,7.5,0,6.047571428571429
7.278,7.5,10.0,6.8,3.0,6.8,1,6.054
7.5,5.0,9.0,10.0,3.0,6.0,0,5.785714285714286
8.167,7.5,9.5,9.1,3.0,7.5,0,6.3952857142857145
7.556,7.5,10.0,9.5,3.0,6.5,1,6.436571428571428
8.056,5.0,0.0,9.4,3.0,9.1,1,5.079428571428571
8.167,7.5,9.0,9.3,3.0,8.6,1,6.652428571428572
8.167,7.5,10.0,9.9,3.0,8.0,1,6.795285714285714
7.5,7.5,8.5,10.0,3.0,6.5,0,6.142857142857143
6.944,7.5,0.0,6.2,3.0,4.0,1,4.092
6.556,5.0,8.5,8.9,3.0,5.2,1,5.450857142857144
9.056,7.5,10.0,9.0,3.0,8.9,1,6.922285714285714
8.167,7.5,9.5,9.8,3.0,7.8,1,6.680999999999999
7.167,7.5,9.5,9.7,3.0,5.5,0,6.052428571428572
7.333,5.6,8.5,8.8,3.0,6.0,1,5.747571428571429
7.333,7.5,9.0,7.4,3.0,7.1,1,6.047571428571429
6.917,7.5,9.0,9.2,2.0,5.1,1,5.816714285714286
7.75,5.6,9.5,8.9,2.0,6.0,1,5.821428571428571
7.167,4.4,9.5,9.0,2.0,4.8,1,5.409571428571428
5.583,5.6,8.5,7.5,2.0,6.8,1,5.2832857142857135
8.417,6.9,8.5,9.3,2.0,7.5,1,6.231000000000001
7.5,5.6,8.5,9.5,2.0,7.0,1,5.871428571428572
5.0,6.9,10.0,7.8,2.0,2.5,1,5.028571428571429
7.417,6.3,8.0,9.8,2.0,6.5,1,5.859571428571428
7.167,4.4,8.5,9.8,2.0,6.5,1,5.623857142857143
6.0,5.6,9.5,9.7,2.0,3.3,1,5.299999999999999
7.5,7.5,9.5,6.6,2.0,5.5,1,5.6571428571428575
7.917,5.0,9.0,7.9,2.0,5.6,1,5.488142857142857
8.833,5.0,9.5,9.7,2.0,7.6,1,6.2332857142857145
7.583,6.9,8.0,9.1,2.0,7.2,1,5.969
6.167,6.9,10.0,7.9,2.0,4.2,1,5.452428571428571
6.25,6.9,9.0,9.0,2.0,1.9,1,5.1499999999999995
7.333,6.9,8.5,7.3,2.0,6.6,1,5.661857142857143
7.167,5.0,9.5,8.8,2.0,5.5,1,5.566714285714285
8.167,6.9,9.5,6.9,2.0,3.3,1,5.395285714285714
5.75,6.9,7.9,6.0,2.0,4.0,1,4.792857142857143
5.167,5.0,9.5,8.1,2.0,4.4,1,5.0238571428571435
8.25,5.0,9.0,8.8,2.0,6.4,1,5.778571428571428
9.333,7.5,10.0,8.4,2.0,9.4,1,6.804714285714285
4.5,5.0,9.0,8.5,2.0,4.3,1,4.8999999999999995
8.083,7.5,9.5,9.2,2.0,7.1,1,6.340428571428572
3.75,5.0,6.9,7.2,2.0,3.8,1,4.235714285714286
8.833,7.5,9.0,9.0,2.0,7.4,1,6.390428571428571
8.75,7.5,8.0,9.0,2.0,8.0,1,6.321428571428571
8.833,7.5,10.0,9.2,2.0,8.5,1,6.719
6.833,5.0,9.5,3.8,2.0,2.3,1,4.347571428571428
5.917,7.5,9.0,4.1,2.0,2.9,1,4.631
7.917,7.5,9.5,8.4,2.0,8.5,1,6.402428571428572
6.833,7.5,9.5,6.0,2.0,4.8,1,5.376142857142857
7.944,6.9,8.0,8.6,3.0,8.3,1,6.249142857142857
7.333,5.0,9.5,8.7,3.0,6.8,1,5.904714285714285
6.778,7.5,9.0,7.0,3.0,1.3,1,5.082571428571428
6.944,7.5,8.5,8.8,3.0,3.7,1,5.634857142857143
6.833,7.5,8.5,8.0,3.0,6.8,0,5.804714285714285
8.944,7.5,9.5,9.9,3.0,8.2,1,6.863428571428571
6.944,5.0,9.5,7.2,3.0,7.5,1,5.734857142857143
7.0,7.5,8.0,6.1,3.0,2.8,1,5.057142857142857
7.111,7.5,9.5,9.1,3.0,7.8,1,6.430142857142856
7.111,7.5,9.5,9.3,3.0,9.0,1,6.630142857142857
9.611,8.8,9.5,10.0,3.0,9.5,1,7.344428571428572
7.222,7.5,8.5,5.8,3.0,3.8,1,5.260285714285715
7.167,7.5,8.0,9.6,3.0,7.6,1,6.266714285714286
5.889,7.5,7.5,8.9,3.0,5.0,1,5.541285714285714
7.222,7.5,10.0,9.0,3.0,4.9,1,6.088857142857143
7.333,7.5,8.5,9.4,3.0,7.1,1,6.261857142857143
7.333,7.5,8.0,8.5,3.0,4.6,1,5.704714285714286
6.889,7.5,8.5,9.1,3.0,5.0,0,5.712714285714285
8.778,5.6,10.0,9.6,3.0,8.2,1,6.596857142857142
6.167,7.5,9.5,9.3,3.0,3.8,1,5.752428571428571
8.278,5.6,9.5,10.0,3.0,9.3,0,6.525428571428571
7.056,7.5,9.5,9.4,3.0,5.8,0,6.0365714285714285
7.611,7.5,8.5,8.6,3.0,7.4,1,6.230142857142857
7.389,7.5,9.5,9.3,3.0,7.1,1,6.398428571428572
7.778,5.6,8.0,8.5,3.0,8.4,1,6.039714285714285
6.278,7.5,7.5,7.4,3.0,4.6,1,5.325428571428572
6.889,7.5,8.0,9.4,3.0,7.8,1,6.226999999999999
6.0,7.5,8.5,5.5,3.0,1.0,1,4.642857142857143
9.0,7.5,9.5,10.0,3.0,9.3,0,6.8999999999999995
7.056,7.5,9.0,10.0,3.0,8.0,0,6.365142857142857
6.944,7.5,9.5,7.2,3.0,3.7,1,5.549142857142857
8.556,7.5,9.5,9.2,3.0,9.1,1,6.836571428571429
6.833,7.5,8.5,8.4,3.0,3.9,0,5.447571428571428
7.167,7.5,9.0,9.7,3.0,5.7,0,6.009571428571429
7.667,7.5,10.0,9.7,3.0,8.6,1,6.781000000000001
8.0,7.5,9.0,9.5,3.0,7.5,1,6.5
8.333,7.5,9.0,9.0,3.0,8.8,1,6.6618571428571425
7.556,6.9,6.9,9.3,3.0,7.1,1,5.965142857142858
6.111,7.5,9.5,9.0,3.0,1.8,1,5.415857142857143
7.444,7.5,6.8,8.1,3.0,4.0,1,5.406285714285715
7.222,7.5,7.8,9.6,3.0,6.3,1,6.060285714285714
7.056,7.5,8.5,7.6,3.0,6.0,1,5.808
8.5,7.5,9.0,9.6,3.0,6.5,0,6.3
7.556,7.5,9.5,7.6,3.0,9.5,1,6.522285714285714
7.167,7.5,9.0,9.2,3.0,7.9,1,6.3952857142857145
8.556,7.5,9.0,9.2,3.0,9.2,1,6.779428571428572
8.278,7.5,9.5,9.7,3.0,9.6,1,6.9397142857142855
6.889,7.5,9.5,9.7,3.0,7.3,0,6.269857142857142
7.278,7.5,7.4,7.4,3.0,8.8,1,6.054
6.778,7.5,8.5,8.9,3.0,6.3,1,5.996857142857142
7.333,7.5,8.9,8.3,3.0,6.7,1,6.104714285714286
7.333,7.5,9.5,8.0,3.0,9.0,1,6.4761428571428565
6.833,7.5,0.0,7.5,3.0,6.8,1,4.6618571428571425
8.222,7.5,9.5,7.7,3.0,7.5,1,6.346000000000001
6.0,7.5,3.5,3.8,3.0,3.8,1,4.085714285714286
7.389,7.5,7.5,9.0,3.0,8.3,1,6.241285714285714
7.722,7.5,9.0,8.9,3.0,6.8,1,6.274571428571428
7.333,7.5,8.0,9.2,3.0,7.8,1,6.261857142857143
7.278,7.5,7.4,7.6,3.0,1.3,1,5.011142857142857
7.0,7.5,7.0,6.7,3.0,6.5,1,5.528571428571429
7.333,7.5,9.5,7.6,3.0,9.2,1,6.447571428571428
7.278,7.5,9.0,10.0,3.0,7.0,0,6.254
7.278,7.5,9.5,9.2,3.0,7.3,0,6.253999999999999
7.222,7.5,8.5,6.8,3.0,7.0,1,5.860285714285715
6.722,6.9,8.5,9.3,3.0,6.3,1,5.960285714285713
7.833,7.5,7.3,8.9,3.0,7.7,1,6.176142857142858
8.222,7.5,9.5,9.4,3.0,6.5,1,6.446
6.444,6.9,10.0,4.9,3.0,1.5,1,4.820571428571428
7.389,6.9,8.5,8.0,3.0,7.3,1,6.012714285714286
7.0,7.5,8.5,9.0,3.0,5.8,1,5.971428571428571
6.278,7.5,8.5,9.3,3.0,3.9,0,5.496857142857143
6.611,7.5,8.5,7.4,3.0,5.5,1,5.644428571428572
6.778,7.5,9.0,8.4,3.0,4.8,1,5.782571428571428
6.778,7.5,9.0,9.3,3.0,6.5,0,6.011142857142858
7.778,6.9,10.0,9.7,3.0,7.3,1,6.525428571428571
6.722,7.5,9.0,8.0,3.0,6.2,1,5.917428571428572
8.278,7.5,9.5,8.0,3.0,8.8,1,6.582571428571429
6.833,7.5,8.5,8.1,3.0,2.0,1,5.276142857142857
8.389,8.1,8.5,9.8,3.0,8.4,1,6.7412857142857145
7.278,7.5,9.5,8.6,3.0,3.3,1,5.739714285714285
7.5,6.9,9.0,7.5,3.0,5.3,1,5.742857142857142
7.611,5.6,8.5,8.9,3.0,7.4,1,6.001571428571428
7.5,5.6,6.9,8.7,3.0,6.9,1,5.6571428571428575
8.333,7.5,8.5,9.3,3.0,7.8,1,6.490428571428571
7.5,7.5,8.0,9.6,3.0,7.8,0,6.2
7.5,7.5,9.5,9.6,3.0,9.3,1,6.771428571428572
7.556,7.5,8.5,8.6,3.0,6.8,1,6.136571428571428
8.389,7.5,7.5,9.2,3.0,8.3,1,6.412714285714285
7.5,5.6,7.4,7.5,3.0,6.3,1,5.471428571428571
7.5,7.5,9.5,9.8,3.0,9.0,1,6.757142857142857
7.917,7.5,10.0,9.3,2.0,5.6,1,6.188142857142857
8.333,7.5,8.0,7.8,2.0,9.3,1,6.276142857142856
9.083,7.5,9.5,9.0,2.0,6.9,0,6.2832857142857135
7.917,7.5,9.0,8.3,2.0,7.8,1,6.216714285714285
6.083,7.5,9.0,8.8,2.0,6.8,1,5.883285714285713
5.25,7.5,6.9,8.7,2.0,5.8,1,5.307142857142857
7.167,7.5,9.5,8.8,2.0,6.3,1,6.038142857142857
7.25,7.5,9.0,7.4,2.0,6.8,1,5.85
8.833,7.5,9.5,9.1,2.0,7.8,1,6.5332857142857135
5.833,7.5,8.5,5.6,2.0,4.5,1,4.990428571428572
3.75,7.5,6.9,3.3,2.0,2.8,1,3.892857142857143
7.833,7.5,9.0,9.7,2.0,6.0,1,6.147571428571429
8.167,7.5,8.0,8.8,2.0,6.9,1,6.052428571428571
7.417,8.1,8.5,8.2,2.0,8.8,1,6.288142857142857
6.75,8.1,8.5,8.5,2.0,8.8,1,6.235714285714287
8.583,8.1,8.5,9.2,2.0,9.2,0,6.511857142857143
6.333,8.1,9.5,8.7,2.0,8.0,0,6.09042857142857
7.083,8.1,10.0,6.6,2.0,7.4,0,5.883285714285714
8.167,8.1,8.5,8.6,2.0,9.3,1,6.5238571428571435
8.583,7.5,10.0,9.4,2.0,7.3,0,6.397571428571427
9.5,6.9,9.0,10.0,2.0,7.3,1,6.528571428571428
7.833,7.5,9.0,8.2,2.0,6.3,1,5.9761428571428565
7.75,7.5,9.5,8.8,2.0,7.4,1,6.278571428571428
8.0,6.9,8.5,8.5,2.0,6.5,1,5.914285714285714
8.083,7.5,9.5,9.1,2.0,7.0,1,6.311857142857143
8.083,7.5,7.9,5.0,2.0,4.0,1,5.069000000000001
7.917,8.1,9.5,7.5,2.0,9.3,0,6.330999999999999
7.833,5.0,9.0,6.2,2.0,8.0,1,5.576142857142857
8.083,8.1,7.5,8.6,2.0,8.8,1,6.297571428571429
8.0,8.1,8.5,9.0,2.0,8.3,1,6.4142857142857155
7.917,7.5,8.5,9.7,2.0,7.9,1,6.359571428571429
6.667,5.6,7.4,7.9,2.0,5.8,1,5.195285714285714
7.417,7.5,9.5,9.5,2.0,7.0,1,6.2738571428571435
7.917,8.1,10.0,9.2,2.0,9.4,0,6.659571428571428
7.917,8.1,9.5,8.9,2.0,6.9,1,6.331
7.667,8.1,9.5,9.8,2.0,5.7,0,6.109571428571429
7.917,8.1,10.0,9.0,2.0,8.1,0,6.445285714285714
2.5,7.5,9.0,3.1,2.0,2.5,0,3.8000000000000003
8.167,7.5,8.5,9.0,2.0,6.6,1,6.109571428571429
8.083,7.5,7.0,9.3,2.0,8.4,1,6.183285714285714
8.083,2.5,9.0,9.8,2.0,8.1,1,5.7832857142857135
6.0,7.5,5.2,9.2,2.0,7.1,1,5.428571428571429
7.083,7.5,9.0,8.7,2.0,9.2,1,6.354714285714286
7.417,7.5,9.0,9.3,2.0,8.7,1,6.416714285714286
7.0,5.0,10.0,8.6,2.0,6.8,0,5.628571428571428
6.833,5.0,7.5,7.4,2.0,5.1,1,4.9761428571428565
6.583,5.0,9.0,8.6,2.0,7.2,1,5.626142857142858
6.333,7.5,9.5,6.2,2.0,7.1,1,5.6618571428571425
8.417,7.5,9.5,6.7,2.0,9.1,1,6.316714285714286
8.083,6.9,10.0,8.1,2.0,8.5,1,6.369
7.583,7.5,8.0,8.4,2.0,7.3,1,5.968999999999999
7.083,7.5,9.5,3.5,2.0,2.3,1,4.697571428571428
8.0,5.0,9.5,8.9,2.0,6.9,1,5.8999999999999995
6.0,6.3,9.0,7.9,2.0,3.5,1,5.1000000000000005
5.833,5.0,8.0,5.1,2.0,8.0,1,4.990428571428572
7.25,7.5,10.0,8.7,2.0,7.8,1,6.321428571428571
7.25,5.6,9.0,6.9,2.0,8.0,1,5.678571428571429
7.917,4.4,8.5,8.7,2.0,4.9,1,5.345285714285715
5.417,7.5,8.9,8.1,2.0,6.7,1,5.65957142857143
7.917,7.5,9.0,7.3,2.0,5.4,1,5.731
7.417,6.3,8.0,8.9,2.0,9.2,0,5.973857142857142
6.083,7.5,9.0,4.6,2.0,4.2,1,4.911857142857143
7.083,7.5,8.0,5.9,2.0,7.6,1,5.583285714285714
7.917,7.5,9.5,8.1,2.0,7.6,0,6.0881428571428575
8.333,4.4,10.0,8.1,2.0,8.1,1,5.990428571428572
8.167,8.1,10.0,6.6,2.0,5.5,0,5.7667142857142855
8.0,5.6,9.5,5.9,2.0,5.6,0,5.228571428571429
5.5,8.1,8.0,5.9,2.0,5.0,0,4.928571428571429
6.583,7.5,10.0,7.5,2.0,4.4,0,5.426142857142857
6.75,8.1,9.0,7.7,2.0,8.4,0,5.992857142857142
8.167,8.1,9.5,7.3,2.0,9.1,0,6.309571428571429
7.25,8.1,10.0,8.7,2.0,8.1,0,6.307142857142857
8.25,8.8,10.0,8.2,2.0,8.3,1,6.6499999999999995
7.083,6.9,9.0,8.5,2.0,7.3,1,5.969
7.5,8.8,9.0,7.9,2.0,7.2,1,6.200000000000001
6.917,5.6,9.5,8.5,2.0,5.1,1,5.5167142857142855
7.417,5.6,9.5,7.2,2.0,7.3,1,5.716714285714285
8.583,5.6,9.0,9.0,2.0,7.3,1,6.069
7.0,5.6,9.0,8.5,2.0,5.4,1,5.5
9.167,5.6,9.5,9.2,2.0,9.0,1,6.495285714285714
7.5,5.6,8.5,8.1,2.0,5.7,0,5.342857142857143
7.083,5.6,6.4,7.3,2.0,5.9,0,4.897571428571429
7.5,5.6,8.5,9.0,2.0,7.2,1,5.828571428571429
7.417,5.6,9.5,8.4,2.0,6.3,1,5.745285714285714
7.5,5.0,8.5,8.7,2.0,7.3,1,5.714285714285714
7.5,5.6,10.0,7.9,2.0,4.8,1,5.542857142857143
7.5,5.6,9.5,9.7,2.0,6.2,0,5.785714285714286
7.75,5.6,9.0,8.5,2.0,8.1,1,5.992857142857143
7.417,5.6,8.0,9.1,2.0,7.2,0,5.616714285714286
7.917,7.5,10.0,7.6,2.0,8.8,1,6.4024285714285725
8.25,7.5,10.0,9.0,2.0,9.1,1,6.692857142857143
7.25,7.5,9.5,7.7,2.0,8.8,1,6.25
5.167,4.4,9.5,8.9,2.0,6.8,1,5.395285714285714
6.167,7.5,8.5,5.8,2.0,3.8,1,4.9667142857142865
8.417,7.5,10.0,9.0,2.0,9.5,1,6.7738571428571435
8.417,7.5,9.5,8.6,2.0,9.1,0,6.445285714285715
6.917,4.4,10.0,5.8,2.0,7.9,1,5.431
8.083,6.9,9.5,9.2,2.0,9.5,0,6.454714285714286
7.25,7.5,10.0,7.9,2.0,5.7,1,5.9071428571428575
8.5,7.5,9.5,9.3,2.0,9.7,1,6.785714285714286
8.333,7.5,9.0,9.1,2.0,8.1,1,6.433285714285715
7.833,7.5,9.0,8.6,2.0,7.5,1,6.204714285714286
8.917,7.5,9.0,9.2,2.0,8.8,1,6.631
8.25,7.5,10.0,9.4,2.0,8.2,1,6.621428571428571
7.083,7.5,10.0,9.7,2.0,6.7,1,6.283285714285715
7.167,7.5,9.5,9.7,2.0,6.5,1,6.195285714285715
7.667,7.5,9.0,8.8,2.0,7.5,0,6.066714285714285
7.417,7.5,8.5,9.3,2.0,4.3,1,5.716714285714285
8.333,7.5,10.0,9.5,2.0,8.7,1,6.719
7.583,7.5,9.5,9.0,2.0,7.0,1,6.2261428571428565
7.583,7.5,9.0,10.0,2.0,7.1,1,6.311857142857143
8.5,7.5,10.0,7.5,2.0,7.9,1,6.3428571428571425
7.333,7.5,9.5,8.9,2.0,8.3,0,6.219
7.5,7.5,10.0,8.3,2.0,7.0,0,6.042857142857143
7.25,7.5,9.0,5.4,2.0,9.2,1,5.907142857142857
7.083,5.0,10.0,6.8,2.0,8.1,1,5.711857142857142
7.417,7.5,10.0,7.8,2.0,6.1,0,5.831
6.417,4.4,7.9,5.7,2.0,5.7,1,4.731
6.333,4.4,0.0,4.3,2.0,1.7,1,2.819
7.0,7.5,8.0,7.7,2.0,5.3,0,5.357142857142857
8.833,7.5,10.0,6.7,2.0,7.1,1,6.161857142857143
7.083,7.5,9.5,5.0,2.0,2.6,1,4.954714285714286
7.167,7.5,8.0,7.6,2.0,6.9,1,5.738142857142857
7.75,7.5,10.0,8.9,2.0,8.3,1,6.492857142857143
7.0,7.5,9.5,8.4,2.0,6.0,0,5.771428571428571
6.917,7.5,9.5,5.8,2.0,6.0,0,5.388142857142857
9.25,7.5,9.5,10.0,2.0,8.2,1,6.778571428571429
7.667,7.5,9.0,8.6,2.0,8.4,1,6.309571428571429
7.167,5.6,9.0,9.5,2.0,6.1,1,5.7667142857142855
7.25,7.5,8.5,9.5,2.0,3.4,0,5.45
8.667,5.6,10.0,9.3,2.0,8.0,0,6.223857142857143
7.417,7.5,9.0,9.4,2.0,4.2,0,5.6452857142857145
7.417,7.5,9.0,8.9,2.0,7.8,1,6.231
8.5,7.5,9.5,8.7,2.0,6.5,1,6.242857142857143
7.167,7.5,9.5,8.0,2.0,6.2,1,5.90957142857143
7.333,7.5,9.5,7.6,2.0,6.0,1,5.847571428571428
7.333,7.5,9.5,8.9,2.0,4.1,0,5.619
7.333,7.5,9.0,9.7,2.0,7.3,0,6.119
7.667,7.5,9.5,9.3,2.0,5.4,1,6.052428571428571
7.5,7.5,9.0,8.5,2.0,7.3,1,6.114285714285714
7.667,7.5,8.0,8.3,2.0,6.3,1,5.823857142857142
7.917,7.5,8.0,9.6,2.0,7.8,1,6.259571428571428
7.5,7.5,8.0,5.4,2.0,6.1,0,5.214285714285714
7.5,7.5,7.0,6.6,2.0,6.8,1,5.485714285714286
8.333,7.5,9.0,9.0,2.0,8.3,1,6.447571428571428
7.417,7.5,10.0,7.2,2.0,6.3,1,5.916714285714286
7.667,6.3,10.0,8.4,2.0,4.8,1,5.738142857142856
7.333,7.5,9.5,9.0,2.0,8.8,0,6.304714285714285
7.917,7.5,9.5,7.3,2.0,6.6,0,5.831
7.5,6.3,9.5,8.7,2.0,9.0,0,6.142857142857143
8.0,6.3,10.0,9.1,2.0,9.3,0,6.385714285714286
7.417,6.3,10.0,6.6,2.0,6.3,0,5.5167142857142855
7.25,5.0,8.5,9.1,2.0,9.6,0,5.921428571428572
7.667,5.6,8.9,5.7,2.0,7.3,1,5.452428571428571
7.333,5.6,9.0,8.1,2.0,7.4,0,5.633285714285714
7.417,6.9,9.5,6.5,2.0,6.0,0,5.473857142857143
8.417,6.9,8.9,9.0,2.0,7.5,1,6.245285714285714
7.0,5.6,10.0,7.9,2.0,6.5,1,5.714285714285714
9.417,7.5,10.0,9.3,2.0,9.6,1,6.973857142857143
7.417,6.3,10.0,8.7,2.0,7.1,0,5.931
7.5,7.5,9.5,7.3,2.0,6.2,0,5.714285714285714
7.333,7.5,10.0,7.9,2.0,7.3,0,6.004714285714285
7.583,6.9,9.5,10.0,2.0,6.0,1,6.140428571428572
6.917,7.5,9.0,7.0,2.0,4.6,1,5.431
7.083,7.5,8.0,8.4,2.0,6.1,1,5.7261428571428565
7.167,7.5,10.0,6.0,2.0,2.8,1,5.2095714285714285
7.333,6.9,10.0,4.4,2.0,6.0,0,5.2332857142857145
7.917,6.9,7.5,8.2,2.0,7.6,1,5.873857142857142
7.5,7.5,9.5,9.6,2.0,5.4,0,5.928571428571429
8.667,7.5,9.5,7.0,2.0,7.6,1,6.181
